LI-8250,LI-8250,LI-8250,LI-8250,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-870,LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,CHAMBER,CHAMBER
DATE,TIME,DOY,PORT,H,V,LATITUDE,LONGITUDE,TA,PA,CO2_DRY,H2O,FCO2,FCO2_dCdt,FCO2_CV,FCO2_R2,FCO2_SEI,FCO2_SES,FCO2_A,FCO2_Cx,FCO2_C0,FCO2_T0,FCO2_ITER,FCO2_N,SWC_1,TS_1
[YYYYMMDD],[HHMMSS],[#],[#],[#],[#],[degrees],[degrees],[C],[kPa],[umol+1mol-1],[mmol+1mol-1],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[#],[#],[#],[umol+1mol-1],[umol+1mol-1],[s],[#],[#],[m+3m-3],[C]
20240530,000142,151.001,1,1,1,39.1007,-96.5632,17.97,96.9857,456.081,18.9166,6.51577,0.913188,1.11407,0.999225,0,0.00203395,0.000596059,1988.12,456.081,4.96141,2,140,0.379,21.1
20240530,003142,151.022,1,1,1,39.1007,-96.5632,17.9,96.9645,451.13,18.9248,6.6535,0.93251,1.11545,0.999159,0,0.00212907,0.000744427,1703.79,451.13,4.27886,2,140,0.379,20.8862
20240530,010142,151.043,1,1,1,39.1007,-96.5632,17.68,96.9668,451.712,18.8068,6.367,0.891616,1.11006,0.999381,0,0.00178165,0.00054312,2093.37,451.712,2.44969,2,140,0.378138,20.653
20240530,013142,151.064,1,1,1,39.1007,-96.5632,17.47,96.9417,455.232,18.7315,6.31722,0.884079,1.11536,0.999197,0,0.0019986,0.000635316,1846.79,455.232,6.81401,2,140,0.378,20.453
20240530,020142,151.085,1,1,1,39.1007,-96.5632,17.42,96.9545,446.709,18.39,6.33421,0.885972,1.12115,0.998958,0,0.00224335,0.000783827,1577.02,446.709,4.73688,2,140,0.378,20.2199
20240530,023142,151.105,1,1,1,39.1007,-96.5632,16.95,96.8848,458.324,18.4335,6.39285,0.893401,1.11357,0.999262,0,0.0019017,0.000774942,1611.19,458.324,2.64018,2,140,0.378,20.0862
20240530,030142,151.126,1,1,1,39.1007,-96.5632,16.87,96.8992,450.552,18.2303,6.24194,0.871755,1.11804,0.999129,0,0.00205388,0.000621041,1854.25,450.552,6.335,2,140,0.378,19.9
20240530,033142,151.147,1,1,1,39.1007,-96.5632,16.43,96.9488,460.831,18.1861,6.26416,0.873053,1.1123,0.999293,0,0.00181946,0.000758065,1612.52,460.831,0.176604,2,140,0.378,19.7
