LI-8250,LI-8250,LI-8250,LI-8250,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-870,LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,CHAMBER,CHAMBER
DATE,TIME,DOY,PORT,H,V,LATITUDE,LONGITUDE,TA,PA,CO2_DRY,H2O,FCO2,FCO2_dCdt,FCO2_CV,FCO2_R2,FCO2_SEI,FCO2_SES,FCO2_A,FCO2_Cx,FCO2_C0,FCO2_T0,FCO2_ITER,FCO2_N,SWC_1,TS_1
[YYYYMMDD],[HHMMSS],[#],[#],[#],[#],[degrees],[degrees],[C],[kPa],[umol+1mol-1],[mmol+1mol-1],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[#],[#],[#],[umol+1mol-1],[umol+1mol-1],[s],[#],[#],[m+3m-3],[C]
20240605,000142,157.001,1,1,1,47.1283,-99.2415,10.4,93.438,449.305,11.5219,1.77447,0.234096,1.42053,0.988531,0,0.00201063,0.000635785,817.505,449.305,7.25691,2,140,0.251,12.8
20240605,003142,157.022,1,1,1,47.1283,-99.2415,10.58,93.4443,446.192,11.7003,1.68434,0.222359,1.43884,0.98825,0,0.00197696,0.000400621,1001.23,446.192,2.38104,2,140,0.25,12.7
20240605,010142,157.043,1,1,1,47.1283,-99.2415,10.48,93.4068,443.401,11.8949,1.80407,0.238226,1.41997,0.987639,0,0.00204298,0.00106069,667.996,443.401,6.68682,2,139,0.25,12.5
20240605,013142,157.064,1,1,1,47.1283,-99.2415,10.17,93.3672,444.177,11.5078,1.61064,0.212471,1.3965,0.990865,0,0.00173658,2.12566e-07,1e+06,444.177,-0.785104,10,140,0.249,12.4
20240605,020142,157.085,1,1,1,47.1283,-99.2415,9.78,93.3245,443.191,11.3526,1.73409,0.228497,1.40127,0.989051,0,0.0018843,0.000784623,734.41,443.191,4.41303,2,140,0.249,12.3
20240605,023142,157.105,1,1,1,47.1283,-99.2415,9.81,93.2807,440.311,11.3477,1.61642,0.213109,1.46194,0.98743,0,0.00196804,0.000370763,1015.1,440.311,4.14277,2,140,0.249,12.2
20240605,030142,157.126,1,1,1,47.1283,-99.2415,9.79,93.259,440.561,11.3493,1.68942,0.22277,1.36971,0.990242,0,0.0017127,0.00092587,681.167,440.561,7.54696,2,140,0.248,12.1
20240605,033142,157.147,1,1,1,47.1283,-99.2415,10.66,93.1915,439.904,12.0579,1.57093,0.208092,1.48466,0.987035,0,0.00199401,0.000164553,1704.49,439.904,2.20308,2,140,0.248,12
